pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,status,span_group,span_length
1,1,left_to_right,17.847,8.5,-16.0,9.347,24.5,ok,1,2000
2,2,ocr,17.847,10.5,,7.347,,missing_middle_or_bottom,1,2000
3,3,ocr,17.835,10.5,,7.335,,missing_middle_or_bottom,1,2000
4,4,ocr,17.847,17.847,-15.0,0.0,32.847,ok,2,2000
5,5,ocr,17.847,6.5,-15.0,11.347,21.5,ok,2,2000
6,6,ocr,17.847,6.502,-16.0,11.345,22.502,ok,2,2000
7,7,ocr,17.835,6.6,-16.0,11.235,22.6,ok,2,2000
8,8,ocr,17.847,6.5,-15.0,11.347,21.5,ok,3,2000
9,9,ocr,17.847,7.002,-16.0,10.845,23.002,ok,3,2000
10,10,left_to_right,17.84,8.0,-16.0,9.84,24.0,ok,3,2000
11,11,left_to_right,17.835,17.835,,0.0,,missing_middle_or_bottom,3,2000
12,12,left_to_right,17.847,8.0,-15.0,9.847,23.0,ok,4,2000
13,3,ocr,7.847,3.0,-15.0,4.847,18.0,ok,4,2000
14,14,left_to_right,17.847,8.0,-16.0,9.847,24.0,ok,4,2000
15,5,ocr,17.895,12.0,-13.0,5.895,25.0,ok,4,2000
16,16,ocr,17.846,12.0,-13.0,5.846,25.0,ok,5,2000
17,17,ocr,17.839,12.0,-13.0,5.839,25.0,ok,5,2000
18,18,left_to_right,17.824,12.0,-13.0,5.824,25.0,ok,5,2000
19,9,ocr,17.789,12.0,-13.0,5.789,25.0,ok,5,2000
20,20,ocr,17.77,2.0,,15.77,,missing_middle_or_bottom,6,2000
21,2,ocr,17.731,12.0,-13.0,5.731,25.0,ok,6,2000
22,1,ocr,,,-13.0,,,missing_top_or_middle;missing_middle_or_bottom,6,2000
